address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,postcode
"St. Leonards Gate, Lancaster",3731.0,861.0,2024-11-17 00:00:00,,House,7,2.0,
"Phoenix Street, Lancaster",3250.0,750.0,2024-11-17 00:00:00,,House,6,2.0,
"St. Leonards Gate, Lancaster",3250.0,750.0,2025-09-01 00:00:00,Furnished,Private Halls,5,5.0,
"Phoenix Street, Lancaster",3250.0,750.0,2025-09-09 00:00:00,,House,6,2.0,
"Blades Street, Lancaster",2990.0,690.0,2024-11-17 00:00:00,,Private Halls,6,2.0,
"Slaidburn Drive, Lancaster",2912.0,672.0,2025-08-15 00:00:00,,House,6,2.0,
"Lucy Street, Lancaster",2860.0,660.0,2025-08-25 00:00:00,,House,4,4.0,
"Coulston Road, Lancaster",2752.0,635.0,2025-08-28 00:00:00,,House,5,2.0,
"King Street, Lancaster",2708.0,625.0,2025-09-02 00:00:00,,House,5,1.0,
"Golgotha Road, Lancaster",2708.0,625.0,2025-08-17 00:00:00,,House,5,2.0,
"Hope Street, Lancaster",2557.0,590.0,2024-11-17 00:00:00,,House,5,2.0,
"Hope Street, Lancaster",2557.0,590.0,2025-09-09 00:00:00,,House,5,2.0,
"Mill Street, Lancaster, LA1",2200.0,508.0,2024-11-17 00:00:00,Furnished,House Share,4,4.0,LA1
"Greaves Road, Lancaster, Lancashire, LA1",2167.0,500.0,,,Flat,2,,LA1
"Stonewell, Lancaster",2145.0,495.0,2025-09-01 00:00:00,Furnished,Private Halls,3,3.0,
"Vine Street, Lancaster",2132.0,492.0,2025-09-01 00:00:00,Furnished,Private Halls,4,1.0,
"2 New Road, Lancaster",2080.0,480.0,2025-09-19 00:00:00,,House,4,2.0,
"110 Quarry Road, Lancaster",2080.0,480.0,2025-09-07 00:00:00,,House,2,1.0,
"2 New Road, Lancaster",2080.0,480.0,2024-11-17 00:00:00,,House,4,2.0,
"Coulston Road, Lancaster",1993.0,460.0,2025-09-17 00:00:00,,House,4,1.0,
"Slaidburn Drive, Lancaster",1993.0,460.0,2024-11-17 00:00:00,Furnished,House Share,4,1.0,
"Williamson Court, Greaves Road, Lancaster",1875.0,433.0,2024-11-17 00:00:00,Unfurnished,Apartment,1,1.0,
"142 Greaves Road, Lancaster, LA1",1875.0,433.0,2024-11-17 00:00:00,Furnished,Apartment,1,1.0,LA1
"142 Greaves Road, Lancaster, LA1",1875.0,433.0,2024-11-17 00:00:00,Furnished,Apartment,1,1.0,LA1
"Williamson Court, Greaves Road, Lancaster",1875.0,433.0,2024-11-17 00:00:00,Unfurnished,Apartment,1,1.0,
"Lawnswood Avenue, Lancaster, LA1",1700.0,392.0,2024-11-17 00:00:00,Unfurnished,Detached,4,2.0,LA1
"Castle Hill, Lancaster",1690.0,390.0,2025-09-01 00:00:00,Furnished,Private Halls,3,1.0,
"Fairfield Road, Lancaster",1625.0,375.0,2025-09-01 00:00:00,Furnished,Private Halls,3,1.0,
"Lune Road, Lancaster",1560.0,360.0,2025-09-09 00:00:00,,House,3,1.0,
"Coleman Drive, Lancaster, LA1",1500.0,346.0,2024-12-09 00:00:00,Unfurnished,Detached,4,2.0,LA1
"Melbourne Road, Lancaster",1495.0,345.0,2025-09-06 00:00:00,,House,3,1.0,
"The Residence, Kershaw Drive, Lancaster, LA1",1450.0,335.0,2024-11-25 00:00:00,Unfurnished,Maisonette,3,3.0,LA1
"Sun Street, Lancaster",1365.0,315.0,2025-09-01 00:00:00,,Private Halls,1,1.0,
"Sun Street, Lancaster",1343.0,310.0,2024-11-17 00:00:00,Furnished,Private Halls,1,1.0,
"Bowerham Road, Lancaster",1300.0,300.0,2025-08-24 00:00:00,,Flat,1,1.0,
"The Paddocks, Bowerham, Lancaster",1300.0,300.0,,Unfurnished,Semi-Detached,3,2.0,
"1 Damside Street, Lancaster",1300.0,300.0,2024-11-17 00:00:00,,Private Halls,1,1.0,
"1 Damside Street, Lancaster",1300.0,300.0,2024-11-17 00:00:00,,Private Halls,1,1.0,
"Waterside, Lancaster",1300.0,300.0,2025-09-08 00:00:00,,Flat,2,1.0,
"Green Street, Lancaster",1287.0,297.0,2025-09-05 00:00:00,,House,3,1.0,
"St. Leonards Gate, Lancaster",1235.0,285.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"Queen Street, Lancaster",1213.0,280.0,2025-08-28 00:00:00,,Flat,1,1.0,
"Queen Street, Lancaster",1170.0,270.0,2025-08-25 00:00:00,,House,1,1.0,
"Flat1, 2 Stonewell, Lancaster",1170.0,270.0,2025-09-01 00:00:00,,Private Halls,1,1.0,
"Beech Street, Lancaster",1170.0,270.0,2025-09-01 00:00:00,Furnished,Private Halls,2,1.0,
"Studio 2, 13a Brock Street",1148.0,265.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"James Lane, Lancaster",1127.0,260.0,2024-11-17 00:00:00,,House,1,1.0,
"James Lane, Lancaster",1127.0,260.0,2025-09-26 00:00:00,,House,1,1.0,
"St. Leonards Gate, Lancaster",1127.0,260.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"St. Leonards Gate, Lancaster",1127.0,260.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
