address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,garden,postcode
"Knightthorpe Road, Loughborough, LE11",4749.0,1096.0,2025-09-18 00:00:00,Furnished,House Share,8,3.0,Yes,LE11
"Knightthorpe Road (8), Loughborough, LE11",4749.0,1096.0,2025-08-22 00:00:00,Furnished,House Share,8,3.0,Yes,LE11
"Forest Road (7), Loughborough, LE11",4155.0,959.0,2025-09-06 00:00:00,Furnished,House Share,7,3.0,Yes,LE11
"Cotswold Close, Loughborough, LE11",3562.0,822.0,2025-07-01 00:00:00,Furnished,House Share,6,2.0,Yes,LE11
Sharpley Road,2750.0,635.0,2025-07-01 00:00:00,Furnished,Detached,5,,Yes,
"Sharpley Road, Loughborough",2750.0,635.0,2025-07-01 00:00:00,,Detached,5,1.0,Yes,
"Gracedieu Road, Loughborough, LE11 4QG",2400.0,554.0,2024-11-17 00:00:00,Furnished,House,6,2.0,Yes,LE11
"Loweswater Drive, Loughborough, LE11",2374.0,548.0,2025-07-01 00:00:00,Furnished,House Share,4,1.0,Yes,LE11
"Alan Moss Road, Loughborough, LE11",2253.0,520.0,2025-07-01 00:00:00,Furnished,House Share,4,1.0,Yes,LE11
Hermitage Road,2232.0,515.0,2025-07-01 00:00:00,Furnished,Semi-Detached,5,,Yes,
"Hermitage Road, Loughborough",2232.0,515.0,2025-07-01 00:00:00,,Semi-Detached,5,1.0,Yes,
"Braid Close, Loughborough, LE11",2200.0,508.0,2024-11-17 00:00:00,Unfurnished,Detached,5,4.0,Yes,LE11
"Goldfinch Close, Loughborough, LE11",2166.0,500.0,2025-07-01 00:00:00,Furnished,House Share,4,2.0,Yes,LE11
"Leopold Street, Loughborough, LE11",2080.0,480.0,2025-07-01 00:00:00,Furnished,House Share,4,2.0,Yes,LE11
"Pantain Road, Loughborough",1950.0,450.0,2024-11-17 00:00:00,Unfurnished,Detached,4,3.0,Yes,
"Hermitage Road, Loughborough",1906.0,440.0,2025-07-01 00:00:00,,Detached,4,1.0,Yes,
Hermitage Road,1906.0,440.0,2025-07-01 00:00:00,Furnished,Detached,4,,Yes,
"John Boden Way, Loughborough, LE11",1850.0,427.0,2024-12-20 00:00:00,Unfurnished,Detached,4,2.0,Yes,LE11
Sharpley Road,1820.0,420.0,2025-07-01 00:00:00,Furnished,Semi-Detached,4,,,
"Sharpley Road, Loughborough",1820.0,420.0,2025-07-01 00:00:00,,Semi-Detached,4,1.0,,
"Speeds Pingle, Loughborough, LE11",1820.0,420.0,2025-06-30 00:00:00,Furnished,Detached,4,2.0,Yes,LE11
"John Boden Way, Loughborough, LE11 2ER",1800.0,415.0,2024-12-12 00:00:00,"Furnished or unfurnished, landlord is flexible",Detached,4,3.0,Yes,LE11
"Hermitage Road, Loughborough",1734.0,400.0,2025-07-01 00:00:00,,Detached,4,1.0,Yes,
"Brisco Avenue, Loughborough, LE11",575.0,133.0,2024-11-23 00:00:00,Furnished,House Share,1,1.0,Yes,LE11
"Kirkstone Drive, Loughborough, Leics, LE11 3RW",1200.0,277.0,2024-11-17 00:00:00,Unfurnished,House,3,1.0,Yes,LE11
"Windmill Road, Loughborough, Leicestershire, LE11 1RJ",1100.0,254.0,2024-12-13 00:00:00,Unfurnished,House,3,1.0,Yes,LE11
"John Boden Way, Loughborough, LE11",1850.0,427.0,2024-12-20 00:00:00,Unfurnished,Detached,4,2.0,Yes,LE11
"Queens Road, Loughborough",1100.0,254.0,2024-12-01 00:00:00,Unfurnished,Terraced,4,1.0,Yes,
"Hermitage Road, Loughborough",1734.0,400.0,2025-07-01 00:00:00,,Detached,4,1.0,Yes,
"Hermitage Road, Loughborough",2232.0,515.0,2025-07-01 00:00:00,,Semi-Detached,5,1.0,Yes,
"Sharpley Road, Loughborough",1820.0,420.0,2025-07-01 00:00:00,,Semi-Detached,4,1.0,,
"Park Road, Loughborough, LE11",809.0,187.0,2024-11-17 00:00:00,Furnished,Flat Share,1,1.0,Private garden,LE11
"Holland Close, Loughborough, LE11",875.0,202.0,2024-12-02 00:00:00,Unfurnished,Apartment,2,1.0,,LE11
"Brisco Avenue, Loughborough, LE11",575.0,133.0,2024-12-12 00:00:00,Furnished,House Share,1,1.0,Yes,LE11
"Irwin Avenue, Loughborough, Leics, LE11 5FB",1200.0,277.0,2024-12-09 00:00:00,Unfurnished,House,3,1.0,Yes,LE11
"Grace Dieu Court, Loughborough, LE11 4QL",516.0,119.0,2025-07-01 00:00:00,Furnished,,2,,,LE11
"Grace Dieu Court, Loughborough - INC BILLS OPTION",516.0,119.0,2025-07-01 00:00:00,Furnished,Apartment,2,1.0,,
"Grace Dieu Court, Loughborough - INC BILLS OPTION",516.0,119.0,2025-07-01 00:00:00,Furnished,Apartment,2,1.0,,
