address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,council_tax,let_type,postcode
"East Parade, Heworth",7761.0,1791.0,2025-07-05 00:00:00,Furnished,End of Terrace,9.0,9.0,G,,
"Lawrence Street, York",7605.0,1755.0,2025-07-08 00:00:00,Furnished,End of Terrace,9.0,3.0,E,,
"Millfield Lane, Hull Road",6760.0,1560.0,2025-07-06 00:00:00,Furnished,Semi-Detached,8.0,2.0,D,,
"Carlton Avenue, York, North Yorkshire, YO10",6717.0,1550.0,2025-07-14 00:00:00,Furnished,Semi-Detached,8.0,,,,YO10
"East Parade, Heworth",6587.0,1520.0,2025-07-20 00:00:00,Furnished,Terraced,8.0,3.0,F,,
"Green Dykes Lane, York, North Yorkshire, YO10",6218.0,1435.0,2025-07-16 00:00:00,Furnished,House Share,7.0,,,,YO10
"Yarburgh Way, Badger Hill",6158.0,1421.0,2025-07-23 00:00:00,Furnished,Detached,7.0,2.0,E,,
"Hull Road, Tang Hall",6158.0,1421.0,2025-07-07 00:00:00,Furnished,Semi-Detached,7.0,3.0,F,,
"Hull Road, Osbaldwick",6127.0,1414.0,2025-08-07 00:00:00,Furnished,Semi-Detached,7.0,3.0,C,,
"Constantine Avenue, Tang Hall, York",6127.0,1414.0,2025-08-01 00:00:00,Furnished,Semi-Detached,6.0,2.0,,,
"Ingleborough Avenue, Tang Hall",5915.0,1365.0,2025-07-08 00:00:00,Furnished,Semi-Detached,7.0,3.0,B,,
"White Cross Road, York, North Yorkshire, YO31",5893.0,1360.0,2025-07-19 00:00:00,Furnished,End of Terrace,8.0,,,,YO31
"Kitchener Street, Huntington Road",5612.0,1295.0,2025-08-07 00:00:00,Furnished,End of Terrace,7.0,3.0,D,,
"Burton Stone Lane, Clifton",5430.0,1253.0,2025-08-05 00:00:00,Furnished,End of Terrace,7.0,2.0,C,,
"The Crescent, Heslington",5382.0,1242.0,2025-07-07 00:00:00,Furnished,Semi-Detached,6.0,6.0,C,,
"Vanbrugh Drive, Badger Hill",5356.0,1236.0,2025-08-04 00:00:00,Furnished,Semi-Detached,6.0,2.0,C,,
"Hull Road, Tang Hall",5356.0,1236.0,2025-07-20 00:00:00,Furnished,Semi-Detached,6.0,2.0,C,,
"Hull Road, Tang Hall",5356.0,1236.0,2025-07-07 00:00:00,Furnished,Semi-Detached,6.0,3.0,E,,
"Deramore Drive, Badger Hill",5356.0,1236.0,2025-07-07 00:00:00,Furnished,Detached,6.0,3.0,D,,
"Deramore Drive, Badger Hill",5356.0,1236.0,2025-07-21 00:00:00,Furnished,Detached,6.0,3.0,E,,
"Newland Park Drive, Hull Road",5330.0,1230.0,2025-07-05 00:00:00,Furnished,Semi-Detached,6.0,2.0,C,,
